ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13852044,JJ274939,05/30/2025 02:45:00 PM,005XX N MICHIGAN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,False,False,1834.0,18.0,42.0,8.0,11,1177342.0,1903838.0,2025.0,03/14/2026 03:41:39 PM,41.891465732,-87.624153044,"(41.891465732, -87.624153044)"
13383829,JH170289,02/28/2024 07:20:00 PM,001XX W MADISON ST,0860,THEFT,RETAIL THEFT,CONVENIENCE STORE,False,False,122.0,1.0,34.0,32.0,06,1175295.0,1900360.0,2024.0,12/21/2024 03:40:46 PM,41.881968084,-87.63177506,"(41.881968084, -87.63177506)"
13200748,JG412730,09/05/2023 06:00:00 PM,014XX S MICHIGAN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,132.0,1.0,3.0,33.0,07,1177455.0,1893454.0,2023.0,09/13/2023 03:42:41 PM,41.862968887,-87.624053203,"(41.862968887, -87.624053203)"
13264360,JG488748,11/02/2023 02:54:00 PM,047XX S MARSHFIELD AVE,0460,BATTERY,SIMPLE,SCHOOL - PUBLIC GROUNDS,False,False,931.0,9.0,20.0,61.0,08B,1166141.0,1873224.0,2023.0,11/10/2023 03:40:55 PM,41.807704719,-87.666162329,"(41.807704719, -87.666162329)"
14097552,JK133369,01/31/2026 07:42:00 AM,021XX E 95TH ST,051A,ASSAULT,AGGRAVATED - HANDGUN,OTHER (SPECIFY),False,False,431.0,4.0,7.0,51.0,04A,1192317.0,1842399.0,2026.0,03/14/2026 03:41:39 PM,41.722520812,-87.571158974,"(41.722520812, -87.571158974)"
13916849,JJ353314,07/29/2025 08:36:00 AM,008XX W CERMAK RD,0484,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",CTA BUS,False,False,1235.0,12.0,25.0,31.0,08B,1171256.0,1889639.0,2025.0,03/14/2026 03:41:39 PM,41.852638507,-87.646920878,"(41.852638507, -87.646920878)"
13774619,JJ180546,03/13/2025 11:30:00 PM,074XX S VERNON AVE,0810,THEFT,OVER $500,APARTMENT,False,True,323.0,3.0,6.0,69.0,06,1180536.0,1855706.0,2025.0,03/14/2026 03:41:39 PM,41.759314882,-87.613903333,"(41.759314882, -87.613903333)"
13442260,JH241015,04/27/2024 12:45:00 PM,001XX W ONTARIO ST,0820,THEFT,$500 AND UNDER,RESTAURANT,False,False,1832.0,18.0,42.0,8.0,06,1175327.0,1904462.0,2024.0,12/21/2024 03:40:46 PM,41.893223483,-87.63153437,"(41.893223483, -87.63153437)"
12870994,JF448563,10/21/2022 10:00:00 AM,071XX S PEORIA ST,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,733.0,7.0,6.0,68.0,06,1171540.0,1857545.0,2022.0,01/03/2023 03:40:27 PM,41.764563048,-87.646819464,"(41.764563048, -87.646819464)"
12846319,JF418968,10/02/2022 11:47:00 AM,035XX W FIFTH AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,True,False,1133.0,11.0,28.0,27.0,15,1152841.0,1898041.0,2022.0,01/03/2023 03:40:27 PM,41.8760786,-87.714287437,"(41.8760786, -87.714287437)"
